Sequence Name,Name,Minimum,Maximum,Length,Repeat Unit
Pf3D7_01_v3,Mononucleotide Repeat,4337,4354,18,A
Pf3D7_01_v3,Mononucleotide Repeat,27416,27445,30,A
Pf3D7_01_v3,Mononucleotide Repeat,27446,27454,9,A
Pf3D7_01_v3,Mononucleotide Repeat,27499,27508,10,A
Pf3D7_01_v3,Mononucleotide Repeat,27510,27524,15,A
Pf3D7_01_v3,Mononucleotide Repeat,27525,27533,9,A
Pf3D7_01_v3,Mononucleotide Repeat,27571,27601,31,A
Pf3D7_01_v3,Mononucleotide Repeat,27615,27626,12,A
Pf3D7_01_v3,Mononucleotide Repeat,27648,27660,13,A
Pf3D7_01_v3,Mononucleotide Repeat,28638,28646,9,A
Pf3D7_01_v3,Mononucleotide Repeat,28966,28979,14,A
Pf3D7_01_v3,Mononucleotide Repeat,29045,29056,12,A
Pf3D7_01_v3,Mononucleotide Repeat,29169,29180,12,A
Pf3D7_01_v3,Mononucleotide Repeat,31458,31470,13,A
Pf3D7_01_v3,Mononucleotide Repeat,33330,33340,11,A
Pf3D7_01_v3,Mononucleotide Repeat,34047,34055,9,A
Pf3D7_01_v3,Mononucleotide Repeat,34651,34659,9,C
Pf3D7_01_v3,Mononucleotide Repeat,34980,34990,11,A
Pf3D7_01_v3,Mononucleotide Repeat,35002,35021,20,A
Pf3D7_01_v3,Mononucleotide Repeat,35170,35178,9,A
Pf3D7_01_v3,Mononucleotide Repeat,35195,35209,15,A
Pf3D7_01_v3,Mononucleotide Repeat,35377,35388,12,A
Pf3D7_01_v3,Mononucleotide Repeat,35393,35401,9,A
Pf3D7_01_v3,Mononucleotide Repeat,35419,35428,10,A
Pf3D7_01_v3,Mononucleotide Repeat,35443,35452,10,A
Pf3D7_01_v3,Mononucleotide Repeat,35492,35501,10,A
Pf3D7_01_v3,Mononucleotide Repeat,35509,35536,28,A
Pf3D7_01_v3,Mononucleotide Repeat,35539,35550,12,A
Pf3D7_01_v3,Mononucleotide Repeat,35563,35571,9,A
Pf3D7_01_v3,Mononucleotide Repeat,35592,35604,13,A
Pf3D7_01_v3,Mononucleotide Repeat,35616,35628,13,A
Pf3D7_01_v3,Mononucleotide Repeat,35875,35885,11,A
Pf3D7_01_v3,Mononucleotide Repeat,37145,37154,10,A
Pf3D7_01_v3,Mononucleotide Repeat,37291,37305,15,A
Pf3D7_01_v3,Mononucleotide Repeat,37626,37644,19,A
Pf3D7_01_v3,Mononucleotide Repeat,37675,37683,9,A
Pf3D7_01_v3,Mononucleotide Repeat,37711,37731,21,A
Pf3D7_01_v3,Mononucleotide Repeat,37780,37802,23,A
Pf3D7_01_v3,Mononucleotide Repeat,37845,37869,25,A
Pf3D7_01_v3,Mononucleotide Repeat,37937,37952,16,A
Pf3D7_01_v3,Mononucleotide Repeat,38033,38041,9,A
Pf3D7_01_v3,Mononucleotide Repeat,38889,38904,16,A
Pf3D7_01_v3,Mononucleotide Repeat,39023,39033,11,A
Pf3D7_01_v3,Mononucleotide Repeat,40376,40386,11,A
Pf3D7_01_v3,Mononucleotide Repeat,40421,40433,13,A
Pf3D7_01_v3,Mononucleotide Repeat,40571,40580,10,A
Pf3D7_01_v3,Mononucleotide Repeat,40969,40981,13,A
Pf3D7_01_v3,Mononucleotide Repeat,41075,41084,10,A
Pf3D7_01_v3,Mononucleotide Repeat,41384,41392,9,A
Pf3D7_01_v3,Mononucleotide Repeat,41455,41477,23,A
Pf3D7_01_v3,Mononucleotide Repeat,41767,41775,9,A
Pf3D7_01_v3,Mononucleotide Repeat,41777,41785,9,A
Pf3D7_01_v3,Mononucleotide Repeat,42317,42336,20,A
Pf3D7_01_v3,Mononucleotide Repeat,42357,42368,12,A
Pf3D7_01_v3,Mononucleotide Repeat,46686,46694,9,A
Pf3D7_01_v3,Mononucleotide Repeat,47838,47848,11,A
Pf3D7_01_v3,Mononucleotide Repeat,49323,49332,10,A
Pf3D7_01_v3,Mononucleotide Repeat,49587,49597,11,A
Pf3D7_01_v3,Mononucleotide Repeat,49700,49709,10,A
Pf3D7_01_v3,Mononucleotide Repeat,50110,50142,33,A
Pf3D7_01_v3,Mononucleotide Repeat,50180,50192,13,A
Pf3D7_01_v3,Mononucleotide Repeat,52284,52304,21,A
Pf3D7_01_v3,Mononucleotide Repeat,52597,52610,14,A
Pf3D7_01_v3,Mononucleotide Repeat,52678,52692,15,A
Pf3D7_01_v3,Mononucleotide Repeat,52734,52763,30,A
Pf3D7_01_v3,Mononucleotide Repeat,52791,52799,9,A
Pf3D7_01_v3,Mononucleotide Repeat,52830,52840,11,A
